PS F:\test> c:\temp\llama-bench.exe -ngl 999 -fa on -r 3 -b 2048 -sm none -mg 0 --n-cpu-moe 64,32,16,8,4,0 -p 512 -p 2048 -n 256 -ub 512 -ub 1024 -ub 2048 -m f:\gemma-4-26B-A4B-it-UD-Q5_K_XL.gguf -o md
ggml_cuda_init: found 1 CUDA devices (Total VRAM: 16302 MiB):
  Device 0: NVIDIA GeForce RTX 5080, compute capability 12.0, VMM: yes, VRAM: 16302 MiB
load_backend: loaded CUDA backend from C:\temp\ggml-cuda.dll
load_backend: loaded RPC backend from C:\temp\ggml-rpc.dll
load_backend: loaded CPU backend from C:\temp\ggml-cpu-alderlake.dll
| model                          |       size |     params | backend    | ngl |  n_cpu_moe | n_ubatch |     sm |            test |                  t/s |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          8 |     2048 |   none |           tg256 |         24.81 + 6.43 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          4 |      512 |   none |           pp512 |       317.89 + 12.02 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          4 |      512 |   none |          pp2048 |        258.67 + 4.04 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          4 |      512 |   none |           tg256 |         11.33 + 0.01 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          4 |     1024 |   none |           pp512 |        322.15 + 5.79 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          4 |     1024 |   none |          pp2048 |        276.15 + 0.93 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          4 |     1024 |   none |           tg256 |         18.38 + 0.21 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          4 |     2048 |   none |           pp512 |       1043.38 + 4.12 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          4 |     2048 |   none |          pp2048 |      1500.21 + 15.24 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          4 |     2048 |   none |           tg256 |         13.15 + 0.52 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          0 |      512 |   none |           pp512 |        365.30 + 1.77 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          0 |      512 |   none |          pp2048 |        293.27 + 3.29 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          0 |      512 |   none |           tg256 |          9.33 + 0.25 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          0 |     1024 |   none |           pp512 |       1152.74 + 5.90 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          0 |     1024 |   none |          pp2048 |       1376.25 + 7.36 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          0 |     1024 |   none |           tg256 |         11.63 + 0.51 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          0 |     2048 |   none |           pp512 |      1097.60 + 18.47 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          0 |     2048 |   none |          pp2048 |      1433.48 + 10.21 |
| gemma4 ?B Q5_K - Medium        |  19.75 GiB |    25.23 B | CUDA       | 999 |          0 |     2048 |   none |           tg256 |         12.57 + 0.72 |
